record_id,timestamp,entity_type,location_zone,sensor_temp_c,mkt_value,anomaly_flag,confidence_score
REC-00111,2025-07-28,Monoclonal Antibodies,Frankfurt Pharma Hub,49.223,44.731,0,0.935
REC-00112,2025-05-30,Cell Therapy Kits,Tokyo Narita Cold,80.952,108.486,0,0.941
REC-00113,2025-07-16,Enzyme Replacements,Liege Cargo Port,73.435,67.432,0,0.965
REC-00114,2025-08-01,Enzyme Replacements,Chicago O'Hare Bio,79.747,79.063,0,0.945
REC-00115,2025-12-04,Monoclonal Antibodies,Tokyo Narita Cold,55.779,57.037,0,0.94
REC-00116,2025-08-22,Monoclonal Antibodies,Basel Logistics,58.603,56.656,0,0.885
REC-00117,2025-08-31,Insulin Analogs,Basel Logistics,52.103,45.252,0,0.945
REC-00118,2025-02-21,mRNA Vaccines,Liege Cargo Port,87.388,74.95,0,0.976
REC-00119,2025-03-21,Insulin Analogs,Chicago O'Hare Bio,38.778,46.392,0,0.974
REC-00120,2025-12-12,Insulin Analogs,Chicago O'Hare Bio,63.278,81.864,0,0.94
REC-00121,2025-11-13,Monoclonal Antibodies,Chicago O'Hare Bio,94.781,115.953,1,0.891
REC-00122,2025-11-21,Insulin Analogs,Basel Logistics,68.99,89.805,1,0.968
REC-00123,2025-05-31,Cell Therapy Kits,Tokyo Narita Cold,22.373,24.959,0,0.967
REC-00124,2025-03-29,mRNA Vaccines,Liege Cargo Port,84.021,97.452,0,0.98
REC-00125,2025-03-15,Insulin Analogs,Chicago O'Hare Bio,49.063,58.062,0,0.931
REC-00126,2025-05-28,Enzyme Replacements,Basel Logistics,16.278,21.53,0,0.913
REC-00127,2025-08-06,Cell Therapy Kits,Tokyo Narita Cold,81.851,77.726,0,0.933
REC-00128,2025-05-02,Enzyme Replacements,Chicago O'Hare Bio,58.859,79.245,0,0.988
REC-00129,2025-12-04,Cell Therapy Kits,Frankfurt Pharma Hub,58.104,69.312,0,0.885
REC-00130,2025-11-07,Cell Therapy Kits,Basel Logistics,61.601,63.213,0,0.948
REC-00131,2025-12-14,Monoclonal Antibodies,Frankfurt Pharma Hub,86.789,101.818,0,0.928
REC-00132,2025-10-24,Monoclonal Antibodies,Frankfurt Pharma Hub,87.318,88.485,0,0.902
REC-00133,2025-10-04,Enzyme Replacements,Liege Cargo Port,87.646,110.893,0,0.971
REC-00134,2025-09-04,Cell Therapy Kits,Frankfurt Pharma Hub,49.808,44.212,0,0.905
REC-00135,2025-12-13,Insulin Analogs,Liege Cargo Port,41.091,51.172,1,0.939
REC-00136,2025-08-21,Cell Therapy Kits,Liege Cargo Port,42.387,49.562,0,0.954
REC-00137,2025-08-30,Enzyme Replacements,Liege Cargo Port,37.881,43.754,0,0.95
REC-00138,2025-08-26,Cell Therapy Kits,Tokyo Narita Cold,19.917,17.381,1,0.99
REC-00139,2025-03-01,Monoclonal Antibodies,Liege Cargo Port,21.531,23.185,0,0.962
REC-00140,2025-10-04,Enzyme Replacements,Basel Logistics,85.26,100.39,0,0.948
REC-00141,2025-05-24,Cell Therapy Kits,Basel Logistics,47.688,63.2,0,0.891
REC-00142,2025-12-18,Enzyme Replacements,Chicago O'Hare Bio,15.147,14.964,0,0.984
REC-00143,2025-08-21,Monoclonal Antibodies,Liege Cargo Port,92.543,81.002,1,0.989
REC-00144,2025-10-17,mRNA Vaccines,Liege Cargo Port,27.608,26.448,0,0.916
REC-00145,2025-03-17,mRNA Vaccines,Chicago O'Hare Bio,82.965,76.522,0,0.908
REC-00146,2025-03-31,mRNA Vaccines,Basel Logistics,11.263,14.022,0,0.916
REC-00147,2025-03-31,mRNA Vaccines,Basel Logistics,73.046,81.303,0,0.932
REC-00148,2025-07-05,Enzyme Replacements,Frankfurt Pharma Hub,48.42,46.521,0,0.96
REC-00149,2025-12-04,Cell Therapy Kits,Tokyo Narita Cold,64.684,55.989,0,0.973
REC-00150,2025-08-07,mRNA Vaccines,Tokyo Narita Cold,70.554,75.618,0,0.915
REC-00151,2025-03-17,Monoclonal Antibodies,Chicago O'Hare Bio,63.067,72.066,0,0.922
REC-00152,2025-11-02,Cell Therapy Kits,Tokyo Narita Cold,52.972,56.42,0,0.893
REC-00153,2025-12-02,Enzyme Replacements,Basel Logistics,46.556,60.246,0,0.971
REC-00154,2025-07-24,mRNA Vaccines,Chicago O'Hare Bio,46.275,54.723,0,0.897
REC-00155,2025-08-31,mRNA Vaccines,Frankfurt Pharma Hub,17.925,16.102,0,0.969
REC-00156,2025-10-12,Enzyme Replacements,Liege Cargo Port,57.743,68.426,0,0.976
REC-00157,2025-08-05,Cell Therapy Kits,Liege Cargo Port,36.558,32.968,0,0.897
REC-00158,2025-09-04,mRNA Vaccines,Chicago O'Hare Bio,81.857,84.622,0,0.943
REC-00159,2025-08-08,Enzyme Replacements,Liege Cargo Port,67.373,76.022,0,0.952
REC-00160,2025-12-22,mRNA Vaccines,Basel Logistics,33.228,40.91,0,0.919
REC-00161,2025-04-03,Enzyme Replacements,Tokyo Narita Cold,15.915,19.424,0,0.89
REC-00162,2025-09-29,Insulin Analogs,Tokyo Narita Cold,48.56,45.098,0,0.916
REC-00163,2025-10-18,mRNA Vaccines,Frankfurt Pharma Hub,23.224,28.501,1,0.889
REC-00164,2025-08-15,Insulin Analogs,Tokyo Narita Cold,61.601,65.118,0,0.936
REC-00165,2025-06-26,mRNA Vaccines,Chicago O'Hare Bio,67.649,77.564,0,0.914
REC-00166,2025-04-23,Enzyme Replacements,Frankfurt Pharma Hub,10.653,10.661,0,0.895
REC-00167,2025-05-11,Cell Therapy Kits,Frankfurt Pharma Hub,10.657,13.039,0,0.922
REC-00168,2025-12-27,Enzyme Replacements,Liege Cargo Port,80.835,101.294,0,0.975
REC-00169,2025-01-22,mRNA Vaccines,Tokyo Narita Cold,88.299,113.116,0,0.943
REC-00170,2025-11-24,Cell Therapy Kits,Frankfurt Pharma Hub,44.428,59.227,0,0.984
REC-00171,2025-08-24,Cell Therapy Kits,Frankfurt Pharma Hub,47.121,42.547,0,0.924
REC-00172,2025-02-10,Cell Therapy Kits,Chicago O'Hare Bio,28.834,35.741,0,0.95
REC-00173,2025-09-29,Monoclonal Antibodies,Chicago O'Hare Bio,39.843,52.956,0,0.896
REC-00174,2025-02-22,Cell Therapy Kits,Basel Logistics,24.747,22.926,0,0.888
REC-00175,2025-11-18,Insulin Analogs,Liege Cargo Port,74.59,80.143,0,0.942
REC-00176,2025-11-22,Cell Therapy Kits,Chicago O'Hare Bio,22.831,20.186,0,0.913
REC-00177,2025-05-21,mRNA Vaccines,Chicago O'Hare Bio,53.124,53.4,0,0.886
REC-00178,2025-05-27,mRNA Vaccines,Liege Cargo Port,60.497,63.052,0,0.985
REC-00179,2025-01-22,Enzyme Replacements,Basel Logistics,37.33,40.608,0,0.887
REC-00180,2025-02-22,mRNA Vaccines,Liege Cargo Port,64.921,56.453,0,0.989
REC-00181,2025-09-26,Enzyme Replacements,Basel Logistics,40.931,53.577,0,0.965
REC-00182,2025-12-14,mRNA Vaccines,Chicago O'Hare Bio,15.603,14.0,0,0.911
REC-00183,2025-12-03,Monoclonal Antibodies,Chicago O'Hare Bio,16.928,20.006,0,0.914
REC-00184,2025-12-02,Insulin Analogs,Basel Logistics,60.579,79.904,0,0.921
REC-00185,2025-06-18,Enzyme Replacements,Frankfurt Pharma Hub,64.912,68.917,0,0.92
REC-00186,2025-04-03,Cell Therapy Kits,Tokyo Narita Cold,26.32,35.532,0,0.913
REC-00187,2025-02-21,Enzyme Replacements,Liege Cargo Port,13.209,13.452,0,0.894
REC-00188,2025-07-12,Monoclonal Antibodies,Basel Logistics,80.664,99.664,0,0.898
REC-00189,2025-08-13,Insulin Analogs,Chicago O'Hare Bio,67.491,65.383,0,0.911
REC-00190,2025-08-18,Enzyme Replacements,Basel Logistics,36.305,45.538,0,0.972
REC-00191,2025-07-08,Enzyme Replacements,Tokyo Narita Cold,49.243,48.794,0,0.938
REC-00192,2025-03-24,Enzyme Replacements,Basel Logistics,84.205,73.771,0,0.921
REC-00193,2025-02-22,mRNA Vaccines,Chicago O'Hare Bio,17.129,15.933,0,0.936
REC-00194,2025-08-12,Monoclonal Antibodies,Tokyo Narita Cold,85.194,112.05,0,0.924
REC-00195,2025-07-11,Insulin Analogs,Frankfurt Pharma Hub,41.868,36.178,0,0.972
REC-00196,2025-11-29,Monoclonal Antibodies,Basel Logistics,13.256,17.348,0,0.971
REC-00197,2025-08-29,Enzyme Replacements,Frankfurt Pharma Hub,86.998,74.775,0,0.896
REC-00198,2025-11-08,Insulin Analogs,Frankfurt Pharma Hub,75.975,73.606,0,0.906
REC-00199,2025-11-24,Insulin Analogs,Frankfurt Pharma Hub,19.423,25.3,0,0.882
REC-00200,2025-09-21,Monoclonal Antibodies,Basel Logistics,34.758,29.571,0,0.943
REC-00201,2025-04-06,mRNA Vaccines,Liege Cargo Port,92.846,82.061,1,0.936
REC-00202,2025-09-17,mRNA Vaccines,Tokyo Narita Cold,84.233,73.432,0,0.921
REC-00203,2025-01-09,mRNA Vaccines,Chicago O'Hare Bio,30.496,35.941,0,0.944
REC-00204,2025-06-20,mRNA Vaccines,Chicago O'Hare Bio,56.411,70.895,0,0.966
REC-00205,2025-08-26,Insulin Analogs,Basel Logistics,78.977,69.622,0,0.93
REC-00206,2025-05-31,mRNA Vaccines,Basel Logistics,85.292,85.957,0,0.924
REC-00207,2025-10-06,Cell Therapy Kits,Frankfurt Pharma Hub,74.03,69.999,0,0.966
REC-00208,2025-12-02,Cell Therapy Kits,Frankfurt Pharma Hub,77.944,83.281,0,0.928
REC-00209,2025-07-17,Monoclonal Antibodies,Tokyo Narita Cold,68.826,71.144,0,0.909
REC-00210,2025-02-12,mRNA Vaccines,Tokyo Narita Cold,61.209,77.195,0,0.915
REC-00211,2025-02-10,Cell Therapy Kits,Chicago O'Hare Bio,47.903,57.907,0,0.929
REC-00212,2025-08-17,Cell Therapy Kits,Liege Cargo Port,94.843,93.636,1,0.984
REC-00213,2025-02-08,Insulin Analogs,Chicago O'Hare Bio,53.612,65.672,0,0.883
REC-00214,2025-11-08,Insulin Analogs,Frankfurt Pharma Hub,20.73,20.067,0,0.92
REC-00215,2025-10-18,Enzyme Replacements,Basel Logistics,67.72,89.689,0,0.964
REC-00216,2025-10-21,Enzyme Replacements,Chicago O'Hare Bio,43.833,51.494,0,0.892
REC-00217,2025-04-06,Enzyme Replacements,Tokyo Narita Cold,87.651,79.664,0,0.957
REC-00218,2025-04-20,Cell Therapy Kits,Tokyo Narita Cold,27.015,24.796,0,0.899
REC-00219,2025-08-16,Cell Therapy Kits,Chicago O'Hare Bio,70.311,79.1,0,0.913
REC-00220,2025-03-22,Monoclonal Antibodies,Chicago O'Hare Bio,53.244,48.488,0,0.895
REC-00221,2025-09-10,Cell Therapy Kits,Liege Cargo Port,58.644,63.553,0,0.894
REC-00222,2025-02-14,Cell Therapy Kits,Tokyo Narita Cold,94.966,114.855,1,0.965
REC-00223,2025-10-22,Monoclonal Antibodies,Chicago O'Hare Bio,64.599,69.443,0,0.918
REC-00224,2025-10-10,Enzyme Replacements,Basel Logistics,75.261,68.827,0,0.976
REC-00225,2025-03-05,Monoclonal Antibodies,Chicago O'Hare Bio,23.996,24.268,0,0.918
REC-00226,2025-09-23,mRNA Vaccines,Chicago O'Hare Bio,26.686,35.444,0,0.949
REC-00227,2025-11-11,mRNA Vaccines,Liege Cargo Port,64.484,73.892,0,0.899
REC-00228,2025-11-16,Cell Therapy Kits,Liege Cargo Port,13.502,17.308,0,0.984
REC-00229,2025-10-23,Monoclonal Antibodies,Liege Cargo Port,45.41,53.107,0,0.949
REC-00230,2025-05-29,Cell Therapy Kits,Tokyo Narita Cold,30.815,38.632,0,0.93
REC-00231,2025-12-19,Monoclonal Antibodies,Tokyo Narita Cold,45.328,49.055,0,0.896
REC-00232,2025-06-13,Insulin Analogs,Basel Logistics,74.657,82.682,0,0.907
REC-00233,2025-03-04,Insulin Analogs,Basel Logistics,21.975,19.235,0,0.975
REC-00234,2025-08-03,Monoclonal Antibodies,Chicago O'Hare Bio,89.369,108.187,0,0.898
REC-00235,2025-09-21,Insulin Analogs,Chicago O'Hare Bio,52.276,46.788,0,0.93
REC-00236,2025-05-04,Enzyme Replacements,Chicago O'Hare Bio,14.136,14.004,0,0.973
REC-00237,2025-12-11,Cell Therapy Kits,Liege Cargo Port,10.695,9.666,0,0.909
REC-00238,2025-07-07,Cell Therapy Kits,Frankfurt Pharma Hub,44.049,50.002,0,0.941
REC-00239,2025-02-07,Enzyme Replacements,Tokyo Narita Cold,74.974,74.214,0,0.955
REC-00240,2025-03-02,mRNA Vaccines,Tokyo Narita Cold,41.722,56.049,0,0.92
REC-00241,2025-03-15,Enzyme Replacements,Liege Cargo Port,44.118,38.388,1,0.958
REC-00242,2025-08-31,Insulin Analogs,Basel Logistics,61.532,68.162,0,0.947
REC-00243,2025-03-25,Enzyme Replacements,Chicago O'Hare Bio,60.467,66.735,0,0.934
REC-00244,2025-10-16,Insulin Analogs,Frankfurt Pharma Hub,41.31,49.031,0,0.944
REC-00245,2025-12-19,mRNA Vaccines,Liege Cargo Port,50.34,67.13,0,0.965
REC-00246,2025-10-23,mRNA Vaccines,Liege Cargo Port,50.838,56.538,0,0.965
REC-00247,2025-07-14,Monoclonal Antibodies,Frankfurt Pharma Hub,58.668,70.417,0,0.929
REC-00248,2025-08-03,Insulin Analogs,Basel Logistics,44.882,55.541,0,0.976
REC-00249,2025-02-01,Enzyme Replacements,Basel Logistics,57.675,77.807,0,0.921
REC-00250,2025-03-30,Enzyme Replacements,Chicago O'Hare Bio,56.433,67.039,0,0.955
REC-00251,2025-12-21,Enzyme Replacements,Tokyo Narita Cold,26.342,25.638,0,0.905
REC-00252,2025-06-02,Monoclonal Antibodies,Tokyo Narita Cold,36.948,37.85,0,0.967
REC-00253,2025-05-21,mRNA Vaccines,Liege Cargo Port,67.513,70.203,0,0.97
REC-00254,2025-03-16,mRNA Vaccines,Chicago O'Hare Bio,91.202,81.126,1,0.952
REC-00255,2025-09-03,Monoclonal Antibodies,Liege Cargo Port,33.046,37.375,0,0.892
REC-00256,2025-10-28,Monoclonal Antibodies,Frankfurt Pharma Hub,66.936,74.668,0,0.886
REC-00257,2025-07-31,Insulin Analogs,Frankfurt Pharma Hub,67.901,62.383,0,0.988
REC-00258,2025-03-22,Insulin Analogs,Tokyo Narita Cold,65.296,80.181,0,0.911
REC-00259,2025-01-31,Enzyme Replacements,Basel Logistics,55.488,67.227,0,0.98
REC-00260,2025-03-31,Monoclonal Antibodies,Frankfurt Pharma Hub,94.76,99.356,1,0.983
REC-00261,2025-05-29,mRNA Vaccines,Chicago O'Hare Bio,58.277,52.662,0,0.911
REC-00262,2025-11-25,Enzyme Replacements,Tokyo Narita Cold,85.587,78.492,0,0.91
REC-00263,2025-02-27,Monoclonal Antibodies,Tokyo Narita Cold,65.104,78.73,1,0.917
REC-00264,2025-06-01,Monoclonal Antibodies,Basel Logistics,61.931,72.42,0,0.927
REC-00265,2025-06-17,Insulin Analogs,Frankfurt Pharma Hub,25.706,23.657,0,0.907
REC-00266,2025-05-14,Monoclonal Antibodies,Tokyo Narita Cold,74.069,98.291,0,0.96
REC-00267,2025-01-06,Cell Therapy Kits,Basel Logistics,15.281,13.892,0,0.925
REC-00268,2025-09-15,mRNA Vaccines,Chicago O'Hare Bio,41.241,39.609,0,0.933
REC-00269,2025-08-21,Cell Therapy Kits,Tokyo Narita Cold,69.665,91.01,0,0.968
REC-00270,2025-04-22,Enzyme Replacements,Frankfurt Pharma Hub,54.668,60.905,0,0.981
REC-00271,2025-02-27,Enzyme Replacements,Liege Cargo Port,27.183,30.4,0,0.974
REC-00272,2025-08-15,Monoclonal Antibodies,Liege Cargo Port,51.55,66.986,0,0.886
REC-00273,2025-03-09,Insulin Analogs,Tokyo Narita Cold,57.932,65.428,0,0.914
REC-00274,2025-01-12,Cell Therapy Kits,Frankfurt Pharma Hub,73.393,83.606,1,0.918
REC-00275,2025-02-02,mRNA Vaccines,Frankfurt Pharma Hub,93.822,101.894,1,0.9
REC-00276,2025-03-11,Insulin Analogs,Chicago O'Hare Bio,94.393,98.286,1,0.98
REC-00277,2025-07-12,Enzyme Replacements,Basel Logistics,65.55,67.116,0,0.939
REC-00278,2025-09-28,Monoclonal Antibodies,Frankfurt Pharma Hub,74.275,99.472,0,0.959
REC-00279,2025-08-06,Insulin Analogs,Basel Logistics,31.039,31.755,0,0.983
REC-00280,2025-02-27,Insulin Analogs,Liege Cargo Port,75.115,97.039,1,0.903
REC-00281,2025-02-21,mRNA Vaccines,Tokyo Narita Cold,60.812,73.074,1,0.961
REC-00282,2025-07-25,Monoclonal Antibodies,Liege Cargo Port,28.468,36.492,0,0.935
REC-00283,2025-05-29,Enzyme Replacements,Chicago O'Hare Bio,59.085,73.045,0,0.906
REC-00284,2025-03-15,Enzyme Replacements,Basel Logistics,45.153,44.592,0,0.945
REC-00285,2025-03-31,Insulin Analogs,Liege Cargo Port,52.128,69.651,0,0.954
